Feature,embedding
access medical record,"[ 5.13910413e-01  1.22312471e-01  1.53319502e+00  2.23971650e-01
  5.75615048e-01  4.34252113e-01 -2.03041360e-01  3.31753790e-01
 -3.51505220e-01 -4.99967813e-01  2.98235327e-01 -2.16708422e-01
  9.00463462e-01  1.20385909e+00  5.13056099e-01  4.96673644e-01
 -1.13250101e+00 -2.55705684e-01  3.54845345e-01 -3.60419273e-01
 -3.34797204e-01 -4.19333071e-01  7.19556212e-01 -3.14117759e-01
 -2.34597057e-01  4.46582228e-01 -8.29127669e-01 -8.92939195e-02
 -8.52420628e-01 -9.35196504e-02 -1.07730433e-01 -1.19610631e+00
  7.81535983e-01 -1.13022372e-01  6.30933106e-01  1.19601227e-01
 -4.61280644e-01  8.79918277e-01 -5.91308102e-02 -5.52647293e-01
 -1.05885017e+00 -5.81059754e-02  5.21666169e-01  1.04429722e+00
 -6.24646485e-01 -6.69503033e-01  2.69363493e-01  2.97052920e-01
 -5.61207592e-01  5.14114261e-01 -3.74800377e-02 -7.16107130e-01
  9.57368195e-01  1.14473844e+00 -7.07494676e-01  3.23385149e-01
  4.91082370e-01 -4.96042818e-01 -1.22315609e+00  9.39650714e-01
 -4.61757511e-01 -4.20189425e-02  4.40239817e-01  5.40485263e-01
 -1.79661602e-01  1.63574308e-01  2.94192970e-01  4.70513105e-01
 -7.09659636e-01 -6.13948345e-01  6.35004818e-01 -1.10793695e-01
 -4.05169666e-01  7.31002465e-02 -5.23798540e-02  5.54040074e-03
  6.60518885e-01  7.55110662e-03  1.07467723e+00  3.43397558e-01
 -1.58198953e-01 -3.70589733e-01  5.79863548e-01  3.88903141e-01
 -2.07002074e-01  4.33408022e-02 -9.68809500e-02 -2.11749941e-01
 -4.13022816e-01  3.22986603e-01  8.78276706e-01 -6.17129691e-02
  1.84917435e-01 -7.31276870e-01 -8.49313617e-01  2.21711785e-01
 -9.39871609e-01 -7.57469296e-01 -5.00086486e-01 -8.91975224e-01
 -4.04055923e-01  1.36456460e-01 -1.61148340e-01  5.59646897e-02
  2.71896243e-01 -1.20732365e-02 -8.80965590e-01  6.55870259e-01
 -3.71987164e-01  7.22393692e-01  8.33276451e-01  1.72484666e-01
 -4.36970055e-01 -2.09593087e-01 -5.47083199e-01  8.95233154e-02
 -2.34285086e-01 -1.23072672e+00 -1.57891840e-01  2.18984969e-02
 -8.74456763e-01  7.09802270e-01 -1.68341830e-01  8.16818513e-03
  1.54873088e-01  5.47999978e-01  7.65174747e-01  2.81511128e-01
 -1.56557965e+00  3.85301292e-01  3.09913605e-01  1.00597322e+00
  1.09170067e+00 -7.20829844e-01  2.55627841e-01 -2.90173329e-02
  4.16648954e-01 -5.09080179e-02 -7.47043788e-01 -1.50495127e-01
  1.87128559e-01 -1.99060842e-01 -8.89342278e-02  4.18976635e-01
 -9.47727822e-03 -4.60009091e-02  3.08503546e-02  3.42523634e-01
 -8.72820973e-01 -3.16576153e-01 -6.47697747e-01  1.01055193e+00
  4.23995703e-02 -1.10269105e+00 -2.57233262e-01  3.68277192e-01
 -1.76658928e-01  7.05561191e-02  6.17235124e-01 -4.37699378e-01
  7.15005040e-01  9.26053226e-01 -1.74419343e-01  2.16972634e-01
  4.10633069e-03 -7.54652196e-04  3.70742559e-01 -2.15661198e-01
 -3.71832937e-01  4.10075605e-01  5.74317575e-01 -1.64519620e+00
 -8.98212940e-02  1.15193285e-01  1.02336049e+00  3.82326186e-01
  2.98216939e-04  1.02821231e+00  1.08919692e+00 -1.41484129e+00
  3.86922359e-01  1.35516548e+00  3.95267271e-02 -1.19794917e+00
 -1.53489399e+00 -7.34945297e-01  2.40591004e-01  2.41295457e-01
  5.09878516e-01  7.15257108e-01 -6.73223972e-01  1.40944406e-01
  2.65737623e-01  1.44870520e-01 -2.19558433e-01 -1.50843412e-01
  7.64641091e-02  7.19166636e-01 -1.18779826e+00 -6.56930268e-01
  4.96218592e-01 -2.53052384e-01 -1.34666730e-02 -3.90553147e-01
  4.48159277e-02  9.63202119e-01  3.37018788e-01 -6.25087470e-02
 -7.79077932e-02 -2.27017447e-01 -6.31354213e-01  7.54614711e-01
 -1.29521251e-01  1.18007636e+00  7.38957226e-01 -3.61529082e-01
  7.18415994e-03 -9.36838031e-01 -2.89727449e-01 -6.90200686e-01
  2.16240495e-01 -4.59416866e-01  3.38256001e-01  6.67147934e-01
 -8.46927613e-02  1.19945312e+00 -6.28464580e-01  4.36238945e-01
 -5.01656393e-03 -8.38171616e-02  5.62838554e-01  4.78619337e-01
 -3.22312772e-01  4.90751982e-01 -3.96424711e-01 -8.89048755e-01
 -7.31020927e-01 -9.25510764e-01  1.54188305e-01  1.01056859e-01
  3.98914486e-01 -4.14152145e-01  4.14102167e-01  1.40621071e-03
 -1.47805542e-01 -1.19181597e+00 -6.38056457e-01  1.67664796e-01
  3.45778257e-01  3.95443797e-01  5.58222160e-02 -1.51955986e+00
 -1.93702787e-01  6.70239449e-01 -7.71817286e-03 -4.92833853e-01
  2.59506881e-01  7.48115838e-01 -5.12344360e-01 -4.79989141e-01
  6.38801306e-02  3.83022755e-01  2.72273809e-01  1.78529888e-01
 -1.88511968e-01 -1.18630004e+00 -1.04744446e+00  3.50864351e-01
 -6.54028416e-01  4.85754579e-01 -3.31292242e-01  3.34637016e-01
 -9.71768677e-01 -3.93239081e-01 -3.00028116e-01 -2.14615062e-01
  7.04944253e-01  2.70209968e-01 -3.87276679e-01 -2.79131588e-02
  3.07360440e-01 -5.49078465e-01 -6.88773751e-01 -3.54047537e-01
 -1.26548916e-01 -6.76421821e-01  5.44514179e-01 -3.03633273e-01
 -4.28946793e-01  1.82257921e-01 -1.13375410e-01  1.81278765e-01
 -4.56093937e-01 -5.29094160e-01  4.41180408e-01 -8.69032204e-01
  7.88709894e-02 -4.18128401e-01 -5.56860387e-01 -1.17653094e-01
 -1.79089591e-01 -2.83692509e-01  1.94316376e-02 -7.33367354e-02
 -1.37744713e+00 -1.04966521e+00  9.30767655e-02 -8.33286583e-01
 -4.70944405e-01 -3.44541848e-01 -8.31914544e-01 -9.30803597e-01
  7.10280597e-01  8.57854843e-01 -3.96809280e-01  7.47494102e-01
 -1.64525717e-01 -1.47845492e-01 -2.33053677e-02 -3.53336111e-02
 -5.42750239e-01  6.49962723e-02  2.60482222e-01  6.48261011e-01
  2.11844798e-02  6.43352449e-01  2.00116113e-01  2.44443849e-01
  1.17860958e-02 -5.43281674e-01  3.98477495e-01 -3.98352236e-01
 -3.97610903e-01  1.76650739e+00 -2.07427815e-01  8.35513115e-01
 -4.04401451e-01  1.70374095e-01  1.09050071e+00  2.59321630e-01
  1.00146189e-01 -3.88989598e-01 -9.71114755e-01 -5.01343846e-01
  5.50462663e-01 -3.69543314e-01 -3.23179424e-01 -1.28438532e+00
 -8.58379230e-02  9.49745178e-01  4.23763454e-01 -4.00608540e-01
  7.31088370e-02  6.81385040e-01  8.87835026e-03  4.18831825e-01
  6.82231247e-01  3.26664150e-01 -9.44451839e-02  3.63882482e-02
 -1.39554769e-01  9.82057929e-01 -5.85748732e-01 -5.08648455e-02
 -1.74159363e-01  1.38291508e-01 -1.64540023e-01 -4.38045003e-02
  4.78611998e-02 -2.34882325e-01 -2.59355363e-02 -5.68598747e-01
  2.33787924e-01 -9.20424312e-02 -2.66486138e-01 -8.74815643e-01
 -6.67743564e-01  1.95823908e-02  2.71862268e-01 -1.80863544e-01
 -1.92653447e-01 -4.64240849e-01  1.42469049e-01 -1.45543122e+00
 -5.30148521e-02  7.97418118e-01 -2.06196189e-01  1.97966903e-01
 -8.46884102e-02 -2.01156765e-01  4.82463539e-01 -4.49057996e-01
  5.83224408e-02 -3.85471880e-01  8.35576802e-02 -1.20143592e+00
  6.00819468e-01  6.61084950e-01 -9.73863125e-01 -2.66826451e-02
  7.53662229e-01  3.60497445e-01 -3.98185998e-01 -2.68196642e-01
  6.97152317e-01  2.22650483e-01  8.66881371e-01 -3.77629668e-01
  7.54794955e-01 -2.45102331e-01 -3.45824599e-01 -1.13880539e+00
 -8.13730508e-02  2.02733845e-01 -1.98565328e+00  1.19457580e-01
 -3.48898433e-02 -1.09982979e+00 -7.80967832e-01  4.84600842e-01
  5.72543442e-01 -1.09458470e+00 -3.39073956e-01  5.99244177e-01
  4.54626650e-01  5.75769186e-01  5.50814390e-01 -9.32320714e-01
 -1.75928667e-01  5.21341741e-01  1.27273709e-01 -2.78081626e-01
 -2.72779107e-01  3.70082527e-01  5.59998214e-01  3.47423255e-02
 -3.95781040e-01  1.40075874e+00 -2.51026064e-01  3.73375773e-01
  7.48821378e-01 -1.49043456e-01 -1.59652345e-02  9.31112990e-02
 -2.61979967e-01 -1.55660272e-01 -3.08435857e-01  1.27355695e+00
 -6.27580006e-03 -1.00252342e+00  1.57112718e-01  6.82190537e-01
  5.18144555e-02 -4.34005931e-02  5.11780620e-01  1.08346808e+00
 -3.19062799e-01  3.19402397e-01  1.84516475e-01 -6.05843782e-01
 -3.24023485e-01  6.46667123e-01 -2.78603703e-01  5.58244228e-01
  5.24277866e-01 -3.71435106e-01 -1.25938487e+00 -1.81457147e-01
  7.63789192e-02  8.94839406e-01 -5.73919639e-02 -6.88284338e-01
 -6.14565134e-01  4.00726169e-01 -2.37183332e-01 -6.17387295e-01
 -9.10787702e-01 -1.32043749e-01  1.33365974e-01 -2.92305946e-01
 -1.05102183e-02  6.24682665e-01  6.96060479e-01  5.58878303e-01
 -7.33154178e-01  1.46774864e+00  6.97002947e-01  6.99916601e-01
  8.18093181e-01 -1.14332151e+00 -3.70005190e-01 -5.20635724e-01
 -4.04052556e-01 -4.65841055e-01 -1.48844391e-01 -1.85642824e-01
 -1.44783568e+00 -3.45655233e-02  5.10118604e-01  6.34538531e-01
 -7.04902291e-01  3.60748589e-01  5.16677976e-01 -4.38144863e-01
  1.04733013e-01  4.98296738e-01  8.05777848e-01  3.34176213e-01
  6.35442734e-01  1.09701717e+00 -4.88488585e-01  7.69848704e-01
  7.60947689e-02 -3.81890029e-01 -2.36282468e-01  8.96843709e-03
 -6.64191663e-01  9.23905056e-03  2.28329659e-01  7.49853104e-02
  3.12598735e-01  1.53308421e-01 -5.10429740e-01 -4.22617197e-01
  2.09188744e-01  2.68256724e-01  8.68744850e-01  5.55000305e-01
  9.87333775e-01  6.41654849e-01  2.95922570e-02  8.76964480e-02
 -3.55000734e-01  8.95890534e-01 -3.47038597e-01  2.37172365e-01
 -6.07661307e-01 -3.67062807e-01 -7.36715376e-01 -5.92784882e-01
  5.31917751e-01 -2.18231201e-01  9.92489159e-01 -4.28281158e-01
 -1.16235125e+00 -1.77651450e-01  4.87075895e-01 -1.03570545e+00
 -1.13046326e-01 -1.96155787e-01 -1.24693203e+00 -1.47592202e-01
  5.08729339e-01  1.08502877e+00  6.95060194e-01 -4.04284954e-01
  4.86826748e-01  1.32155252e+00 -3.36601347e-01 -6.23279572e-01
  6.76386178e-01 -1.21829438e+00 -7.55318552e-02  9.54562366e-01
 -2.18232065e-01  1.96451515e-01 -3.08821559e-01  5.31505421e-02
  5.19098461e-01 -2.46154949e-01  4.74314928e-01 -1.44476369e-01
  8.34022641e-01  9.98212934e-01 -4.62658495e-01 -1.35281295e-01
 -2.90818781e-01 -3.06876063e-01 -1.32611545e-03 -4.53747928e-01
  8.97174835e-01  4.48317200e-01  4.83405203e-01 -2.72376597e-01
 -2.03796532e-02 -2.58735269e-01  3.90161693e-01  1.32978663e-01
  8.87769163e-02 -4.34283197e-01  6.15295053e-01  4.45618182e-02
 -7.63455987e-01 -7.15688467e-02  7.09038615e-01  1.08015656e+00
 -3.59438241e-01  1.00045657e+00  4.12338346e-01  3.02067935e-01
  3.73416632e-01 -2.62376785e-01 -2.20955145e-02  9.61609662e-01
 -7.49854445e-01  5.19171596e-01  3.73532116e-01 -9.13147151e-01
 -9.18293476e-01  1.75857604e+00  3.93171728e-01 -3.38485897e-01
  1.33406281e-01 -4.87396158e-02 -5.35855405e-02 -1.35462689e+00
 -8.41681778e-01  7.04008341e-01  6.78942502e-01 -3.10395896e-01
  1.62338883e-01  4.65612501e-01 -4.23927963e-01 -3.70718956e-01
 -5.37810385e-01 -7.70871341e-01 -6.12285495e-01 -7.79014111e-01
 -6.07004941e-01  9.83717367e-02  1.10253513e+00  2.53681004e-01
 -2.75920510e-01 -1.94416136e-01 -5.41846633e-01  3.67831945e-01
 -8.84590268e-01 -1.42158475e-02  1.49206877e+00 -5.38748264e-01
 -4.09556091e-01  2.72213876e-01  4.37165350e-01  5.22439122e-01
 -5.28404236e-01  7.07006529e-02 -2.63950169e-01  2.70057023e-01
  2.26957947e-01  1.02574217e+00  5.77646196e-01 -4.17651951e-01
 -6.36859298e-01  4.83177662e-01  8.00520182e-04  4.23596382e-01
  4.85049546e-01 -4.04045492e-01  1.29965380e-01 -5.48589766e-01
  2.77609259e-01  2.26187780e-01 -2.31410235e-01  6.27772789e-03
  8.42190087e-01 -2.23387122e-01  2.66644716e-01  1.48406461e-01
 -6.97393119e-01 -1.08590543e+00 -2.12838322e-01 -1.83935687e-01
  9.65466574e-02 -4.01259989e-01  2.90264070e-01 -9.33212280e-01
  1.96736979e+00 -8.15557837e-02 -2.82565176e-01 -1.39207482e-01
 -9.91443753e-01  2.89973110e-01 -2.98126876e-01 -1.73751867e+00
 -5.80692589e-01 -1.00629076e-01 -6.09668382e-02  6.22256100e-03
  8.46289754e-01 -8.80699813e-01  6.38166189e-01 -8.22955966e-01
 -6.47428751e-01 -7.23516464e-01  4.55503076e-01  1.51319057e-01
  1.40364718e+00  1.25821114e-01 -1.99109286e-01 -3.10121238e-01
 -1.76673502e-01 -4.62083101e-01 -3.19088131e-01 -5.50434053e-01
 -2.71583080e-01 -9.41266179e-01  4.40911859e-01 -6.30257130e-01
 -1.82928431e+00 -4.21551406e-01 -6.10372186e-01  8.51336300e-01
 -1.38411447e-01  1.29796028e+00 -6.23010397e-01  2.80495465e-01
  7.59212852e-01  8.62924755e-01 -1.64032310e-01  1.59241371e-02
 -1.13244343e+00  3.26456636e-01 -6.21757269e-01  1.82056636e-01
 -2.49148563e-01 -7.61068940e-01  1.47814229e-01 -5.10941803e-01
 -1.06869116e-01 -4.93210405e-01 -5.42387903e-01  5.13856998e-03
 -8.45527828e-01 -2.71063689e-02  4.09058958e-01  6.05877221e-01
  1.69831514e-01 -9.26656649e-02 -6.85132623e-01  1.01340389e+00
 -6.11281157e-01 -1.24019384e+00 -5.62500477e-01  5.37047744e-01
 -9.73325849e-01 -1.61612079e-01 -1.86695263e-01 -3.32656950e-02
 -3.82053763e-01 -4.64716971e-01 -5.92322111e-01  9.30759072e-01
  9.79608059e-01  6.12746850e-02 -5.94563127e-01  2.72844940e-01
 -9.17828858e-01 -3.41236368e-02  5.13308406e-01  6.53780177e-02
  1.39747548e+00  3.89547408e-01 -1.22964881e-01  9.43326131e-02
 -9.51706290e-01  1.43633783e-01  3.56316894e-01  7.33073354e-01]"
log patient portal credential,"[ 0.03480881  0.51985216  2.3444915   0.02897359  0.8134895   0.08155695
 -0.17958976  0.10934228  0.16637626 -0.3157112   0.18884033  0.1712379
  0.8867374   0.9376452  -0.20457289  0.08217606 -0.99696773  0.33698246
  0.43973932 -1.2080263  -0.3058327  -0.8770999   0.07347542  0.6591437
  0.07394169  0.5063303  -0.15993977 -1.0082219  -0.19353732  0.02158302
 -0.22317159 -0.92248726  0.37807876 -0.2570686   0.47993445  0.2246811
 -0.4410611   0.5325407  -0.18457505 -0.2619778  -1.0241821  -0.6548066
  0.8424493   0.8186169  -1.1460274  -0.2965932  -0.49242777  0.30692133
  0.40939984 -0.36481774 -0.5416412   0.09530875  0.8460956   0.9531965
 -0.20386985  0.02613957  0.82002735 -1.1480652  -0.41486585  0.31359428
 -0.55343616 -0.38016015  0.7198047   0.7154962  -0.5599506   0.41435164
  0.79510045 -0.3604107  -0.13304678 -0.29029655  0.3073124  -0.8249316
 -0.04231991  0.5735433  -1.3561155   0.40530178 -0.08919697  0.47876537
  1.5745362   0.08138647  0.09805681  0.14986031  0.5594792   0.21022213
  0.46885532  0.8481084   0.47032374 -0.4889984  -1.4408982   0.93560296
  0.07152803 -0.01856096  0.05501781  0.04347247 -0.6997796   0.3917607
  0.17545284 -0.6459303  -0.06661502 -0.06656725  0.18762754 -0.15239352
 -0.26921105  0.16840012 -0.13095829 -0.09268852 -0.5429391  -0.14967126
 -0.941844    0.6477832   0.15609126  0.5394842  -0.68369627  0.0302698
  0.4815432  -0.1382712  -0.39190543 -0.59593576  0.5291605   0.20369497
 -0.4060965   0.7885246  -0.32947993 -0.7667179   0.8933194   0.33694813
 -0.2051981   0.62207943 -1.692207    0.29021704 -0.25793642  0.6240666
  1.2138821  -0.43845475  0.13053134  0.14052194 -0.31117484 -0.08055059
 -0.35325402 -0.08019172 -0.09938151 -0.08967989  0.12147864  0.32382673
  0.23730674 -0.01430974  0.12516792 -1.0244759  -0.31781003  0.28748804
 -0.8396485   1.4535129   0.251918   -0.904342   -0.8005665   0.4783953
 -0.1019788  -0.09052089  0.26492146 -0.284789    0.5253558   1.49363
 -0.73396593  0.15843637 -0.07017015 -0.19278345  0.5136302  -0.3239567
 -0.05190079 -0.23636016 -0.03905082 -1.2780882   0.5253182  -0.05264298
  1.0239801   0.5121435   0.5971481   0.03508777  0.59600013 -1.1498878
  0.27778232  0.2754882  -0.39060074 -0.6453252  -0.56622845 -0.58917266
 -0.22208945 -0.36979675  1.1843767   0.03773509  0.13797042 -0.50476223
  0.24674465 -0.85061127 -0.16771418 -0.12711099  0.0157119   0.58104914
 -0.34063983 -0.82562625  0.60393846  0.28894544 -0.00304818 -0.48955184
 -0.17303209  0.88286847 -0.3388265   0.4767953  -0.37582627 -0.45956582
 -0.5913251   0.6424878  -0.08118444  0.43574837  0.67120117 -0.6277987
  0.60691243 -1.2529092  -0.82289046  0.03859721  0.63615954  0.18547133
  0.48863944  1.0972762  -0.5357278   0.7779029   0.20423257  0.21071637
  0.05310433 -0.17692636  0.6148048   0.20623153 -0.28873616  0.38612685
  0.78143287  0.044227   -0.7200766  -0.07880271 -0.38614663  0.28142658
 -0.08069785  0.5557422   0.8711222  -0.07935288 -0.52087796 -1.0283753
 -0.14056909 -0.348293   -0.47787556  0.10968035 -0.03394125 -1.0646714
  0.00478854  0.5367947   0.08273605 -0.56908095 -0.07239334  0.25108725
 -0.4157334   0.08659949  0.28671607 -0.58547956 -0.35907078  0.02983695
  0.5566406  -0.20774059 -0.04834315  0.2565161  -0.5621697   0.25135508
 -1.0697771  -0.05541077 -0.20293204  0.4074838   0.17517836 -0.47507244
  1.1632001   0.26702216  0.08822379  0.13586664  0.22370374  0.03155238
 -0.70734763 -0.36308452  0.40960848 -0.7922969  -0.10099046 -0.5996798
  0.07725092  0.35948676  0.04841728  0.72987866  0.7474199   0.18395412
  0.80546814 -0.5987791   1.0552424   0.12273097  0.02890454  0.04380632
 -0.39419875 -1.1487516  -0.604029   -0.19376433 -0.30890155 -0.3821219
  0.15463921 -0.7130137  -2.1769617  -0.7107228  -0.14823018 -1.2699058
  0.90621173  0.71730256  0.4060897   0.46424657 -0.12379691  0.72057325
  0.42163277  0.13140348 -0.6544261  -0.16446513 -0.0127937   1.2172823
  0.2306464   0.69608194  0.2798681  -0.06920547 -0.49127162 -0.79662263
  0.5850166  -0.04968908 -0.2372991   0.12257553 -0.49454722  0.9448321
 -0.59242266  0.30861834  1.0980083  -0.31414294  0.28466395 -0.18508399
 -0.622551   -0.2602597   0.5633044   0.12159242  0.1035083  -1.2694559
  0.0495134   0.59671044 -0.27363572 -0.51883495  0.51973087  0.23643729
 -0.5347989   0.04782727  0.31437182  0.4377374  -0.21718246 -0.19587377
  0.37644064  0.96973497 -0.52501744 -0.07086436 -0.83369035  0.50322306
 -0.645442    0.07521831  0.6698128   0.05976759  0.504566   -0.6865741
 -0.67472315  0.21253517 -0.69312334 -0.43706426 -0.74162793 -0.54964256
 -0.43055448 -0.07135268  0.4144676  -0.69397926 -0.01117332 -1.7115749
  0.34782103  0.46388784 -0.01986669 -0.48325035  0.5489721   0.13552383
  1.2681384   0.19971333  0.17070577  0.19299017 -0.08083177 -1.2702686
  0.29025498  0.48836136 -1.2713532  -0.42515665  0.09379055  0.5321218
  0.73097545 -0.19962585  0.22656621 -0.27324623  0.23284489 -0.34995034
  0.6281739  -0.29542568 -0.53684646 -0.79232144 -0.55837417  0.699026
 -1.4467442   0.5556669  -0.27735305 -1.015972   -0.02885724  0.56598616
  0.2492598  -1.4075463  -1.0359397   0.55143017 -0.12697713  0.63234544
  0.0936463  -0.11665338 -0.39150888 -0.45588365  0.13756868  0.2163277
 -0.37509266  0.6205201   0.08436339  0.04603653 -0.1369975   0.6856304
  0.30713528  0.0507944   0.23471025 -0.313975   -0.28330943 -0.16816781
  0.13451868  0.7840659   0.33030507  0.7227416   0.13385946 -0.50534207
  0.2907466   0.286355    0.371489   -0.29435647 -0.30520296  0.53125066
 -0.22943878 -0.5264434  -0.37827393 -0.66167057  0.04374427 -0.03459203
 -0.3931059  -0.6218008   0.38878244  0.07952928 -1.0732555  -0.35426804
 -0.21935722  0.00565513  0.5987031  -0.41982228 -0.7450215   0.64283687
  0.14741334 -0.66008526 -0.30615208  0.07795857  0.3630685  -0.05163307
 -0.40812328  0.74127185  0.31125665  1.2575127  -0.5761039   0.09706469
  1.36115     1.0389147   0.56366396 -0.16510001 -0.2824794  -0.9839657
 -0.5258631   0.16716526  0.42221892 -0.5254657  -0.54769725  0.46123204
  0.1681524   0.5013443  -0.18000434  0.29747647  0.43148053 -0.15858056
  0.78695285  0.8292984  -0.6099259   0.7244556   0.02995068  0.73032665
 -1.426999    0.632825    0.27094117 -0.83153427 -0.36406204  0.20699403
 -0.3640655  -0.2772146  -0.7822792  -0.19328746 -0.8704129  -0.16897453
  0.2541246  -0.87382585  0.07905042 -0.48515898  0.6850789   0.31520066
  0.82059956  0.07501917 -0.2204138   0.13625869 -0.19885129  0.5325455
  0.01790568 -0.23381796 -0.5998643  -0.548608   -0.333788    0.01163653
 -0.05489313 -0.48832688  0.561299   -0.54971683 -1.0652287  -0.27379087
  0.40523803 -0.70278233 -1.7457321   0.130329   -0.83969253 -0.31411633
  0.33763433 -0.1607155  -0.37413102 -0.5186298  -0.41751906  0.71021295
 -0.26447156 -0.6956586   1.1780168   0.06058685 -0.1714373  -0.02434088
 -0.20416549 -0.30191824 -0.36868125 -0.01494957 -0.24152006 -0.9980991
  0.56557447 -0.32639083  0.7571728   1.3099686  -0.65144694  0.26467267
 -0.27982566 -0.45018223  0.27390227  0.36147353  0.3886221   0.52853876
  0.50004935 -0.54099387 -0.29577094  0.19940172  1.0288799  -0.08064176
 -0.48306835 -0.35530475  0.48767287  0.10794679  0.2588569  -0.32733673
  0.5080879   0.21186197  0.3407686   0.91656315  0.6009845   1.0340664
  0.12971434 -0.16925223 -0.29779044  1.1322854  -0.4631787   0.22401701
  0.14632834  0.25893787 -0.3966618   1.3762894  -0.08927922 -0.44520116
 -0.01084199  0.05539219 -0.12423256 -1.1329885  -1.2937278   0.18948543
  0.9751578   0.04509465  0.6381899   0.7422953  -0.43172893 -0.8037704
 -0.5171994  -0.44070604 -0.51937604 -0.3166728  -1.1530747   0.5731351
  0.5938643   0.3278867   0.6324159  -0.11746121  0.0481783   0.640477
 -1.0532322  -0.47127116  1.0563455  -0.05875639 -0.25510156  0.82689893
  0.19657631 -0.02666062 -0.11679788 -0.42330116 -0.3802732   0.74864805
  0.4934495   0.6197261   0.4206508  -0.02836813 -0.43049952  0.51597613
  0.34692243  0.8239151   0.1317532  -0.19820008  0.12399095 -0.39982355
  0.81867564 -0.25091627 -0.28999972  0.1377208   0.95390314  0.2546631
 -0.00350094  0.18048543 -0.31072992 -1.212887   -0.4068937  -0.24016447
  0.68891966 -1.1516386   0.45970982 -0.6765827   1.526109    0.48799282
  0.17393138  0.11585512 -0.30489513 -0.19470827 -0.5628363  -1.153251
 -0.77018225  0.23290183 -0.0344927   0.15935482  0.8784726   0.01574909
  0.63757557 -0.30622715 -0.8078606  -1.3113359   0.14129455  0.3602028
  0.7746264  -0.4023194   0.7058107  -0.6861906  -0.45963973  0.44852468
  0.75729954  0.50481945  0.6091861  -0.7769995   0.15006079 -0.03347785
 -0.827789   -0.52742064  0.17515571  0.64578307  0.96152204  0.7484138
 -0.7693253   0.86185056  0.50772065  0.7235795   0.36087117 -0.26744866
 -1.2172326   0.32133225 -0.04128012  0.663418   -0.21432704 -0.317587
 -0.16710305 -1.0787377  -0.7545203  -0.35718337  0.34631175 -0.15736958
  0.2840091   0.26637048 -0.12984927  0.06484599  0.14963952  0.2106616
 -0.86822134 -1.0402741  -0.85258824 -0.4669906  -0.4786985   0.08822016
 -0.3399786   0.01513971  0.33457255 -0.06542376 -1.1539221  -0.3237403
 -0.00738919  0.8017974   0.20446405  0.3415743   0.21347502 -0.42395005
 -1.2749579   0.28448427  0.44537267 -0.8429967  -0.04032797 -0.46414667
 -0.2552456   0.18660465 -0.76528955 -0.03765628 -0.45752656  0.22864538]"
